All_Bonds;SP_500
111,8264;1149,5
111,8264;1128,52
111,8264;1140,2
111,8264;1139,45
112,2071;1129,9
112,3009;1144,8
111,1391;1170,35
111,0321;1167,1
111,0321;1158,31
110,7094;1139,93
111,0364;1136,76
111,4967;1137,07
111,2003;1119,38
111,2596;1123,09
110,8012;1134,36
111,1128;1142,92
111,1907;1149,56
111,1206;1139,93
111,1206;1144,89
110,8103;1144,65
110,8103;1144,65
110,8103;1149,37
110,8103;1157,13
110,8103;1161,02
110,8103;1148,08
110,4142;1148,08
110,6224;1154,67
110,8255;1165,27
110,6901;1172,51
111,3229;1164,89
111,3229;1160,71
110,9378;1155,14
111,239;1156,55
111,3879;1145,6
111,8041;1138,41
111,7128;1146,19
111,6351;1127,57
111,5763;1138,88
111,4839;1127,58
111,5725;1127,58
111,5725;1119,31
111,5725;1128,19
111,5725;1132,16
111,5725;1133,28
111,5725;1133,06
111,5725;1100,64
111,5725;1113,57
111,5725;1130,21
111,2561;1122,2
111,6091;1094,44
111,6981;1090,02
111,6204;1083,51
111,0131;1080,17
111,0131;1096,22
111,0562;1111,94
110,9098;1107,5
110,9098;1118,51
110,9871;1116,48
111,2709;1104,18
111,2357;1104,18
111,0732;1083,34
111,0859;1097,98
110,9276;1080,95
110,9276;1089,84
110,9276;1109,44
110,9276;1109,38
110,9276;1109,89
110,9276;1106,73
110,9524;1131,78
110,8588;1153,84
110,5071;1146,14
110,1935;1162,77
110,019;1157,54
110,019;1164,31
110,1064;1168,26
110,0408;1165,58
110,0408;1154,09
109,8891;1153,04
109,8383;1166,16
109,9618;1165,55
109,9862;1170,29
109,8446;1151,85
109,8562;1153,59
109,8562;1148,7
109,8562;1131,87
109,8562;1138,49
109,8562;1144,58
109,8562;1147,39
109,8562;1147,39
109,8148;1146,55
109,7897;1136,77
110,1522;1125,4
110,4504;1126,34
110,5481;1122,73
110,5481;1125,29
110,3722;1117,8
110,3448;1130,46
110,5744;1103,69
110,6473;1111,01
110,9111;1102,55
110,4604;1128,37
110,3893;1126,07
110,3838;1124,47
110,406;1125,17
110,406;1107,83
110,406;1100,96
110,7622;1093,14
110,7622;1091,48
110,7622;1076,32
110,7622;1065,46
110,7622;1076,92
111,0477;1086,46
110,7255;1084,56
111,245;1073,43
111,2602;1052,67
111,2311;1049,49
111,2311;1088,85
110,8102;1073,01
110,8041;1054,99
110,8041;1074,56
110,4625;1097,28
110,4876;1091,07
110,6377;1098,23
110,4864;1106,59
110,868;1091,88
111,0244;1079,88
111,0244;1086,02
111,0244;1097,08
111,1451;1083,82
111,1451;1083,82
111,1451;1074,55
111,1451;1067,66
111,1451;1064,66
111,1451;1067,14
111,2743;1040,68
111,5066;1040,69
111,5719;1049,9
111,5836;1029,15
111,5704;1027,53
111,7558;1030,74
111,702;1013,6
111,9727;1020,26
112,307;1009,56
112,6209;1007,28
112,4449;1036,17
112,6385;1037,14
112,7954;1019,99
112,6894;1006,29
112,8491;989,14
113,1764;992,72
113,1764;976,14
113,1764;973,53
113,1764;990,64
113,1764;989,81
112,9905;968,65
113,238;948,09
113,2169;953,99
113,0181;953,99
112,7884;989,03
116,1673;976,98
117,5429;952,83
118,5775;920,47
117,6651;927,37
118,9704;921,39
114,0887;917,93
113,9189;901,05
113,7586;906,04
113,7886;881,56
114,0532;847,76
114,0532;819,85
114,0532;797,7
114,8072;843,42
114,8072;838,68
114,8072;852,84
114,8072;898,96
114,8072;902,78
114,8072;911,62
111,2437;884,66
111,1781;864,24
110,9246;834,6
115,7404;859,57
115,7404;876,77
115,9194;905,46
116,0572;908,64
116,2059;903,8
116,4235;884,21
116,8379;919,62
115,8764;930,25
115,8699;928,77
115,7611;950,72
116,1003;937,43
115,6884;949,36
115,6884;962,7
115,6884;940,86
115,6884;947,95
115,6884;934,82
115,6884;917,87
115,6884;917,8
115,6884;916,07
116,8181;916,07
117,2376;878,02
117,2807;893,41
117,4328;879,15
117,5429;893,92
117,454;902,96
117,0974;909,58
116,8104;909,45
117,3062;886,91
117,5548;889,81
117,9184;891,1
117,867;873,52
118,0593;869,46
118,3525;843,32
118,0223;845,39
118,0223;833,7
118,474;819,29
118,474;839,66
118,474;854,95
118,474;827,37
118,474;815,28
118,4552;847,91
118,1025;827,91
118,0485;818,95
118,2839;800,58
118,2839;785,28
118,7103;798,55
118,7094;776,76
118,3437;803,92
117,9344;835,32
117,7314;841,44
117,1474;881,27
116,8574;860,02
117,0533;879,2
116,9543;884,39
116,9543;899,72
116,9543;890,16
116,9543;896,14
116,9227;882,5
116,9227;897,65
116,9227;890,23
116,9227;882,15
116,9227;890,71
116,9227;885,76
117,6288;900,96
117,5978;908,35
117,3182;915,39
117,3137;923,76
117,3137;902,65
118,1936;894,74
118,3576;876,19
118,6088;882,95
118,5861;882,53
118,2774;904,27
118,3166;909,83
118,2735;900,36
118,448;896,74
118,6535;914,15
118,6535;933,76
118,6535;930,55
118,6535;932,88
118,6535;913,31
118,6535;938,87
118,6535;938,87
118,6535;936,31
118,1667;934,53
118,4485;920,75
118,4868;917,57
118,7045;906,55
118,9704;912,23
119,1389;892
119,2176;904,45
119,3726;904,96
119,6428;901,59
119,6995;889,48
119,5459;910,4
119,7132;902,99
120,0249;891,12
119,9803;884,25
120,0081;895,75
120,0081;897,38
120,0081;892,47
120,0081;892,47
120,0081;889,66
120,0081;875,4
120,0081;879,39
120,0081;879,82
120,7358;879,82
120,0988;909,03
119,9836;908,59
120,1277;929,01
120,3378;922,93
120,3378;909,93
120,5547;927,58
120,7354;927,57
120,7354;926,26
120,737;931,66
120,7741;918,22
120,7472;914,6
121,3092;901,78
121,4669;901,78
121,5785;887,62
121,5785;878,36
121,5785;887,34
121,5785;861,4
121,5785;847,48
121,5785;858,54
121,5785;864,36
121,5785;844,61
121,5785;855,7
122,005;860,32
122,3963;848,2
122,3824;843,59
122,3515;838,15
122,5295;829,69
122,5049;835,97
122,4658;829,2
122,8719;818,68
122,8719;817,37
122,8167;834,89
122,7926;834,89
122,7467;851,17
123,1756;845,13
123,2097;837,1
123,0694;848,17
123,3774;832,58
123,3774;838,57
123,3774;827,55
123,3774;837,28
123,3774;841,15
123,5356;834,81
123,5456;821,99
123,6934;829,85
123,707;822,1
124,0036;828,89
124,1838;807,48
124,1297;800,73
123,9847;804,19
123,9847;831,9
122,7156;833,27
121,9755;862,79
122,1462;866,45
121,5673;874,02
121,7103;875,67
121,3268;895,79
121,7159;864,23
121,7159;874,74
121,7159;869,95
121,7159;868,52
121,7159;863,5
121,7159;848,18
122,7832;858,48
122,428;880,9
122,0043;876,45
122,1182;878,85
121,7057;879,93
121,7057;878,29
122,0036;865,99
122,5031;871,58
122,0556;868,3
121,9299;885,23
122,0676;890,81
122,2727;879,91
122,4669;893,58
122,4669;893,58
122,4669;892,01
122,4669;911,37
122,4669;919,02
122,7977;911,43
122,7977;898,81
122,7977;914,84
122,7977;917,84
122,7977;916,92
122,9251;916,3
122,9981;930,08
123,1708;926,55
123,1197;934,39
123,7828;929,62
123,7828;920,27
124,0937;933,41
124,1364;945,11
124,2414;942,3
124,3023;939,28
124,5768;946,67
124,9588;944,3
125,3504;920,77
125,4388;919,73
125,6319;923,42
125,6319;931,87
125,6319;933,22
125,6319;933,22
125,6319;951,48
125,6319;953,22
125,6319;949,64
125,6319;963,59
125,4691;967
126,1823;971,56
126,0582;986,24
126,4977;990,14
126,0504;987,76
126,6928;975,93
126,7773;984,84
127,1973;997,48
127,1619;998,51
127,589;988,61
127,3659;1010,74
126,9262;1011,66
126,0287;1010,09
126,0314;994,7
126,0697;995,69
126,0697;981,64
126,1917;983,45
126,1917;975,32
126,1917;985,82
126,1917;976,22
126,1917;974,5
125,5984;982,32
125,176;993,75
124,8842;985,7
125,2064;985,7
124,9299;1004,42
124,1408;1007,84
123,3956;1002,21
124,4046;988,7
123,1873;998,14
125,4475;1003,86
124,7424;1000,42
124,5676;994
124,2606;981,73
124,5045;993,32
124,213;978,8
124,213;988,11
124,213;988,61
124,2812;981,6
124,2812;998,68
124,2812;996,52
124,2812;989,28
124,2812;987,49
124,2812;990,31
120,6843;980,15
121,8813;982,82
123,8937;965,46
123,8271;967,08
123,8271;974,12
124,7669;977,59
124,2735;980,59
124,3606;990,35
123,7918;984,03
123,5291;990,51
123,9495;990,67
123,9346;999,74
123,915;1002,35
123,8763;1000,3
123,7976;1003,28
123,7976;993,06
123,7976;993,71
123,7976;996,73
123,7976;996,79
123,7976;1002,84
123,7976;1008,01
123,8167;1008,01
123,0664;1021,99
122,8711;1026,27
123,0341;1027,97
123,3956;1021,39
123,697;1031,64
123,5027;1023,17
123,8707;1010,92
123,6607;1016,42
124,3582;1018,63
124,3038;1014,81
124,1781;1029,32
124,333;1025,97
124,3066;1039,58
124,5521;1036,3
124,5521;1022,82
124,5521;1029,03
124,8823;1009,38
124,8823;1003,27
124,8823;996,85
124,8823;1006,58
124,8823;995,97
125,7603;1018,22
124,9926;1020,24
124,2845;1029,85
124,6125;1034,35
124,6125;1039,25
124,482;1033,78
124,2208;1038,73
124,5396;1038,06
124,0472;1045,35
124,0921;1049,48
123,7282;1046,76
123,9829;1050,07
123,8447;1039,32
123,9035;1044,68
123,9035;1046,03
123,9035;1030,36
123,9035;1033,77
124,1998;1028,91
124,1998;1031,13
124,1998;1046,79
124,1998;1048,11
124,1998;1046,94
124,1998;1050,71
123,6219;1059,02
123,8831;1053,25
123,8919;1051,81
123,4318;1058,05
123,4318;1053,21
123,3106;1047,11
123,3183;1046,57
123,3549;1058,56
123,7181;1058,41
124,1193;1050,35
124,3657;1043,63
124,4336;1034,15
124,2111;1042,44
124,2777;1033,65
124,2777;1035,28
123,9885;1052,08
123,9885;1053,89
123,9885;1058,45
123,9885;1058,45
123,9885;1058,2
123,442;1070,12
123,6045;1066,62
123,8227;1064,73
123,7632;1069,72
124,4514;1061,5
124,4059;1069,3
124,2849;1060,18
124,4817;1059,05
124,3869;1071,21
124,8429;1074,14
124,8541;1068,04
124,9965;1075,13
125,2807;1076,48
125,3634;1089,18
125,1269;1088,67
125,1269;1092,94
125,1269;1096,02
125,1269;1094,04
125,1269;1094,04
125,1269;1095,89
125,1269;1109,48
125,1269;1109,64
125,3495;1111,92
125,3495;1111,92
125,0636;1108,48
125,188;1122,22
125,6132;1123,67
125,8101;1126,33
125,8396;1131,92
126,4452;1121,86
126,6059;1127,23
126,4525;1121,22
126,3439;1130,52
126,4541;1132,05
126,3715;1139,83
126,3715;1139,83
126,5744;1138,77
126,4648;1147,62
126,5889;1143,94
126,9419;1141,55
126,9419;1155,37
126,6003;1144,05
126,661;1128,48
125,8752;1134,12
126,0596;1131,13
126,1893;1135,26
126,3105;1136,03
126,4828;1126,53
126,4828;1128,59
126,8258;1142,76
126,8847;1139,81
126,896;1145,54
127,1522;1157,76
127,0876;1152,11
127,2157;1145,81
127,2127;1145,81
127,4127;1156,99
127,4127;1151,82
